MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,Fence,MoSold,SaleType,SaleCondition,age_of_house,SalePrice
60,RL,4.189654742026425,9.042040056544483,NA,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.561030665896573,Unf,0.0,150,6.75343791859778,Ex,Y,SBrkr,6.75343791859778,854,7.444833273892193,1,0.0,2,1,3,Gd,8,0,NA,Attchd,RFn,548,TA,Y,0.0,4.127134385045092,0.0,0.0,NA,2,WD,Normal,5,208500
20,RL,4.394449154672439,9.169622538697624,NA,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,6.88653164253051,Unf,0.0,284,7.141245122350491,Ex,Y,SBrkr,7.141245122350491,0,7.141245122350491,0,0.6931471805599453,2,0,3,TA,6,1,TA,Attchd,RFn,460,TA,Y,5.700443573390687,0.0,0.0,0.0,NA,5,WD,Normal,31,181500
60,RL,4.23410650459726,9.328212292571072,NA,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,6.18826412308259,Unf,0.0,434,6.825460036255307,Ex,Y,SBrkr,6.825460036255307,866,7.488293515159428,1,0.0,2,1,3,Gd,6,1,TA,Attchd,RFn,608,TA,Y,0.0,3.7612001156935624,0.0,0.0,NA,9,WD,Normal,7,223500
70,RL,4.110873864173311,9.164401140034737,NA,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,NA,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,5.37989735354046,Unf,0.0,540,6.6293632534374485,Gd,Y,SBrkr,6.8690144506657065,756,7.4489161025442,1,0.0,1,0,3,Gd,7,1,Gd,Detchd,Unf,642,TA,Y,0.0,3.58351893845611,5.60947179518496,0.0,NA,2,WD,Abnorml,91,140000
60,RL,4.442651256490317,9.565283817736766,NA,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,Av,GLQ,6.486160788944089,Unf,0.0,490,7.044032897274685,Ex,Y,SBrkr,7.044032897274685,1053,7.695757990554761,1,0.0,2,1,4,Gd,9,1,TA,Attchd,RFn,836,TA,Y,5.262690188904886,4.442651256490317,0.0,0.0,NA,12,WD,Normal,8,250000
50,RL,4.454347296253507,9.55506418479516,NA,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,NA,0.0,TA,TA,Wood,Gd,TA,No,GLQ,6.597145701886651,Unf,0.0,64,6.680854678790215,Ex,Y,SBrkr,6.680854678790215,566,7.217443431696533,1,0.0,1,1,1,TA,5,0,NA,Attchd,Unf,480,TA,Y,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,MnPrv,10,WD,Normal,16,143000
20,RL,4.330733340286331,9.218804450388312,NA,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,206.5,Gd,TA,PConc,Ex,TA,Av,GLQ,7.222566018822171,Unf,0.0,317,7.430707082545968,Ex,Y,SBrkr,7.43543801981455,0,7.43543801981455,1,0.0,2,0,3,Gd,7,1,Gd,Attchd,RFn,636,TA,Y,5.545177444479562,4.060443010546419,0.0,0.0,NA,8,WD,Normal,3,307000
60,RL,4.394449154672439,9.247925132303454,NA,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,206.5,TA,TA,CBlock,Gd,TA,Mn,ALQ,6.756932389247553,BLQ,3.4965075614664802,216,7.010311867307229,Ex,Y,SBrkr,7.010311867307229,983,7.645397699428633,1,0.0,2,1,3,TA,7,2,TA,Attchd,RFn,484,TA,Y,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,NA,11,WD,Normal,36,200000
50,RM,3.9512437185814275,8.71948076085107,NA,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952,6.859614903654202,Gd,Y,FuseF,6.930494765951626,752,7.4815557019095165,0,0.0,2,0,2,TA,8,2,TA,Detchd,Unf,468,Fa,Y,4.51085950651685,0.0,5.327876168789581,0.0,NA,4,WD,Abnorml,77,129900
190,RL,3.9318256327243257,8.912069097970134,NA,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,6.747586526829315,Unf,0.0,140,6.899723107284872,Ex,Y,SBrkr,6.982862751468942,0,6.982862751468942,1,0.0,1,0,2,TA,5,2,TA,Attchd,RFn,205,Gd,Y,0.0,1.6094379124341003,0.0,0.0,NA,1,WD,Normal,69,118000
20,RL,4.2626798770413155,9.32375833901174,NA,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.810142450115136,Unf,0.0,134,6.947937068614969,Ex,Y,SBrkr,6.947937068614969,0,6.947937068614969,1,0.0,1,0,3,TA,5,0,NA,Detchd,Unf,384,TA,Y,0.0,0.0,0.0,0.0,NA,2,WD,Normal,43,129500
60,RL,4.454347296253507,9.386392315756542,NA,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,206.5,Ex,TA,PConc,Ex,TA,No,GLQ,6.906754778648554,Unf,0.0,177,7.069874128458572,Ex,Y,SBrkr,7.075808863978387,1142,7.751475318021456,1,0.0,3,0,4,Ex,11,2,Gd,BuiltIn,Fin,736,TA,Y,4.997212273764115,3.091042453358316,0.0,0.0,NA,7,New,Partial,1,345000
20,RL,4.276666119016055,9.470317173335742,NA,IR2,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,NA,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.6039438246004725,Unf,0.0,175,6.816735880594968,TA,Y,SBrkr,6.816735880594968,0,6.816735880594968,1,0.0,1,0,2,TA,4,0,NA,Detchd,Unf,352,TA,Y,4.948759890378168,0.0,0.0,0.0,NA,9,WD,Normal,46,144000
20,RL,4.5217885770490405,9.273596821611198,NA,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,206.5,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494,7.3098814858247865,Ex,Y,SBrkr,7.3098814858247865,0,7.3098814858247865,0,0.0,2,0,3,Gd,7,1,Gd,Attchd,RFn,840,TA,Y,5.081404364984463,3.5263605246161616,0.0,0.0,NA,8,New,Partial,1,279500
20,RL,4.30406509320417,9.298442820197728,NA,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,202.0,TA,TA,CBlock,TA,TA,No,BLQ,6.598509028614515,Unf,0.0,520,7.134093721192866,TA,Y,SBrkr,7.134093721192866,0,7.134093721192866,1,0.0,1,1,2,TA,5,1,Fa,Attchd,RFn,352,TA,Y,0.0,5.365976015021851,5.176149732573829,0.0,GdWo,5,WD,Normal,48,157000
45,RM,3.9512437185814275,8.71948076085107,NA,Reg,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832,6.725033642166843,Ex,Y,FuseA,6.75110146893676,0,6.75110146893676,0,0.0,1,0,2,TA,5,0,NA,Detchd,Unf,576,TA,Y,3.8918202981106265,4.727387818712341,0.0,0.0,GdPrv,7,WD,Normal,78,132000
20,RL,4.30406509320417,9.32741204356202,NA,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,202.0,TA,TA,CBlock,TA,TA,No,ALQ,6.361302477572996,Unf,0.0,426,6.912742820493176,Ex,Y,SBrkr,6.912742820493176,0,6.912742820493176,1,0.0,1,0,2,TA,5,1,TA,Attchd,Fin,480,TA,Y,0.0,0.0,0.0,0.0,NA,3,WD,Normal,40,149000
90,RL,4.290459441148391,9.286560397887591,NA,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,0,0.0,TA,Y,SBrkr,7.167809184316444,0,7.167809184316444,0,0.0,2,0,2,TA,6,0,NA,CarPort,Unf,516,TA,Y,0.0,0.0,0.0,0.0,NA,10,WD,Normal,39,90000
20,RL,4.204692619390966,9.524859098381523,NA,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,TA,TA,No,GLQ,6.472346294500901,Unf,0.0,468,7.016609683894219,Ex,Y,SBrkr,7.016609683894219,0,7.016609683894219,1,0.0,1,1,3,Gd,6,0,NA,Detchd,Unf,576,TA,Y,0.0,4.634728988229636,0.0,0.0,NA,6,WD,Normal,4,159000
20,RL,4.2626798770413155,8.93075873555827,NA,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,NA,0.0,TA,TA,CBlock,TA,TA,No,LwQ,6.22455842927536,Unf,0.0,525,6.937314081223682,TA,Y,SBrkr,7.200424892944957,0,7.200424892944957,0,0.0,1,0,3,TA,6,0,NA,Attchd,Unf,294,TA,Y,0.0,0.0,0.0,0.0,MnPrv,5,COD,Abnorml,51,139000
60,RL,4.624972813284271,9.562123369834488,NA,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158,7.055312843339752,Ex,Y,SBrkr,7.055312843339752,1218,7.773594467360194,0,0.0,3,1,4,Gd,9,1,Gd,BuiltIn,RFn,853,TA,Y,5.484796933490655,5.043425116919247,0.0,0.0,NA,11,New,Partial,1,325300
45,RM,4.060443010546419,8.915969311373605,Grvl,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637,6.45833828334479,Ex,Y,FuseF,7.011213987350367,0,7.011213987350367,0,0.0,1,0,3,Gd,6,1,Gd,Attchd,Unf,280,TA,N,0.0,0.0,5.327876168789581,0.0,GdPrv,6,WD,Normal,77,139400
20,RL,4.330733340286331,9.184304357425342,NA,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,202.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1777,7.48324441607385,Ex,Y,SBrkr,7.493317248862145,0,7.493317248862145,0,0.0,2,0,3,Gd,7,1,Gd,Attchd,RFn,534,TA,Y,5.147494476813453,5.075173815233827,0.0,0.0,NA,9,WD,Normal,6,230000
120,RM,3.8066624897703196,8.348774539791274,NA,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,NA,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.734591659972948,Unf,0.0,200,6.947937068614969,TA,Y,SBrkr,6.966967138613983,0,6.966967138613983,1,0.0,1,0,3,TA,6,1,TA,Attchd,Unf,572,TA,Y,4.61512051684126,4.709530201312334,0.0,0.0,NA,6,WD,Normal,31,129900
20,RL,4.276666119016055,9.017604776833355,NA,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,NA,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,5.241747015059643,ALQ,6.505784060128229,204,6.966967138613983,Ex,Y,SBrkr,6.966967138613983,0,6.966967138613983,1,0.0,1,0,3,Gd,6,1,TA,Attchd,Unf,270,TA,Y,6.008813185442595,4.51085950651685,0.0,0.0,MnPrv,5,WD,Normal,42,154000
20,RL,4.709530201312334,9.56317796268366,NA,Reg,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,206.5,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566,7.356918242356021,Ex,Y,SBrkr,7.3783837129967145,0,7.3783837129967145,0,0.0,2,0,3,Gd,7,1,Gd,Attchd,RFn,890,TA,Y,0.0,4.04305126783455,0.0,0.0,NA,7,WD,Normal,2,256300
20,RL,4.110873864173311,8.881975184248867,NA,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,5.459585514144159,Rec,6.18826412308259,180,6.803505257608338,TA,Y,SBrkr,6.803505257608338,0,6.803505257608338,0,0.6931471805599453,1,0,3,Gd,5,0,NA,Detchd,Unf,576,TA,Y,5.407171771460119,3.4965075614664802,0.0,0.0,NA,5,WD,Normal,59,134800
20,RL,4.59511985013459,9.348274558065496,NA,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,206.5,Gd,TA,PConc,Ex,TA,No,GLQ,7.105786129481271,Unf,0.0,486,7.4413203897176174,Ex,Y,SBrkr,7.4413203897176174,0,7.4413203897176174,1,0.0,2,0,3,Gd,7,1,Gd,Attchd,RFn,772,TA,Y,0.0,3.9318256327243257,0.0,0.0,NA,5,WD,Normal,3,306000
20,RL,3.871201010907891,9.700269170029188,NA,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,7.15305163493748,Unf,0.0,207,7.3031700512368,TA,Y,SBrkr,7.3783837129967145,0,7.3783837129967145,1,0.0,1,0,2,TA,6,2,Gd,Attchd,RFn,319,TA,Y,5.666426688112432,5.556828061699537,0.0,0.0,NA,12,WD,Normal,49,207500
30,RM,4.110873864173311,8.752265313595721,NA,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520,6.255750041753367,Fa,N,SBrkr,6.255750041753367,0,6.255750041753367,0,0.0,1,0,1,Fa,4,0,NA,Detchd,Unf,240,Fa,Y,3.912023005428146,0.0,4.477336814478207,0.0,NA,5,WD,Normal,81,68500
70,C (all),3.9318256327243257,9.04793908261736,Pave,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,NA,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,649,6.476972362889683,TA,N,SBrkr,6.476972362889683,668,7.183870715062453,0,0.0,1,0,3,TA,6,0,NA,Detchd,Unf,250,TA,N,0.0,4.007333185232471,5.153291594497779,0.0,MnPrv,7,WD,Normal,88,40000
20,RL,4.276666119016055,9.053101595549691,NA,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1228,7.113956109566034,Gd,Y,SBrkr,7.113956109566034,0,7.113956109566034,0,0.0,1,1,3,Gd,6,0,NA,Attchd,Unf,271,TA,Y,0.0,4.189654742026425,0.0,0.0,MnPrv,6,WD,Normal,42,149350
20,RL,4.454347296253507,9.3101857069459,NA,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1234,7.118826249062078,Ex,Y,SBrkr,7.118826249062078,0,7.118826249062078,0,0.0,2,0,3,Gd,7,0,NA,Attchd,RFn,484,TA,Y,0.0,3.4339872044851463,0.0,0.0,NA,1,WD,Normal,1,179900
20,RL,4.2626798770413155,9.26416545867109,NA,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.926577033222725,Unf,0.0,380,7.243512974665482,Gd,Y,SBrkr,7.438971592395862,0,7.438971592395862,0,0.6931471805599453,1,1,4,Gd,6,1,Gd,Attchd,RFn,447,TA,Y,0.0,3.6635616461296463,0.0,0.0,NA,4,WD,Normal,51,165500
