MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,Fence,MoSold,SaleType,SaleCondition,age_of_house
20,RH,4.394449154672439,9.360741172643708,NA,Reg,Lvl,Inside,NAmes,Feedr,1Fam,1Story,5,6,1961,1961,Gable,VinylSd,VinylSd,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.150602768446279,LwQ,4.976733742420574,270.0,6.78332520060396,TA,Y,SBrkr,6.799055862058796,0,6.799055862058796,0.0,0.0,1,0,2,TA,5,0,NA,Attchd,Unf,730.0,TA,Y,4.948759890378168,0.0,0.0,0.0,MnPrv,6,WD,Normal,49
20,RL,4.406719247264253,9.565774546478782,NA,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Hip,Wd Sdng,Wd Sdng,BrkFace,202.0,TA,TA,CBlock,TA,TA,No,ALQ,6.828712071641684,Unf,0.0,406.0,7.1929342212158,TA,Y,SBrkr,7.1929342212158,0,7.1929342212158,0.0,0.0,1,1,3,Gd,6,0,NA,Attchd,Unf,312.0,TA,Y,5.976350909297934,3.6109179126442243,0.0,0.0,NA,6,WD,Normal,52
60,RL,4.31748811353631,9.534667728624708,NA,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,5,5,1997,1998,Gable,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.674561391814426,Unf,0.0,137.0,6.834108738813838,Gd,Y,SBrkr,6.834108738813838,701,7.396335293800808,0.0,0.0,2,1,3,TA,6,1,TA,Attchd,Fin,482.0,TA,Y,5.3612921657094255,3.5553480614894135,0.0,0.0,MnPrv,3,WD,Normal,13
60,RL,4.3694478524670215,9.208238163884312,NA,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,6,1998,1998,Gable,VinylSd,VinylSd,BrkFace,202.0,TA,TA,PConc,TA,TA,No,GLQ,6.401917196727186,Unf,0.0,324.0,6.831953565565855,Ex,Y,SBrkr,6.831953565565855,678,7.380879035564116,0.0,0.0,2,1,3,Gd,7,1,Gd,Attchd,Fin,470.0,TA,Y,5.8888779583328805,3.6109179126442243,0.0,0.0,NA,6,WD,Normal,12
120,RL,3.784189633918261,8.518392471991719,NA,IR1,HLS,Inside,StoneBr,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,HdBoard,HdBoard,NA,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,5.575949103146316,Unf,0.0,1017.0,7.155396301896734,Ex,Y,SBrkr,7.155396301896734,0,7.155396301896734,0.0,0.0,2,0,2,Gd,5,0,NA,Attchd,RFn,506.0,TA,Y,0.0,4.418840607796598,0.0,0.0,NA,1,WD,Normal,18
60,RL,4.330733340286331,9.210440366976517,NA,IR1,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,5,1993,1994,Gable,HdBoard,HdBoard,NA,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,763.0,6.638567789166521,Gd,Y,SBrkr,6.638567789166521,892,7.412160334945205,0.0,0.0,2,1,3,TA,7,1,TA,Attchd,Fin,440.0,TA,Y,5.062595033026967,4.442651256490317,0.0,0.0,NA,4,WD,Normal,17
20,RL,4.189654742026425,8.984818995876008,NA,IR1,Lvl,Inside,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,NA,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,6.841615476477592,Unf,0.0,233.0,7.063903961472068,Ex,Y,SBrkr,7.080026499922591,0,7.080026499922591,1.0,0.0,2,0,3,TA,6,0,NA,Attchd,Fin,420.0,TA,Y,6.182084906716632,3.091042453358316,0.0,0.0,GdPrv,3,WD,Normal,18
60,RL,4.1588830833596715,9.036344063928219,NA,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,Gable,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,789.0,6.672032945461067,Gd,Y,SBrkr,6.672032945461067,676,7.290292882446597,0.0,0.0,2,1,3,TA,7,1,Gd,Attchd,Fin,393.0,TA,Y,0.0,4.330733340286331,0.0,0.0,NA,5,WD,Normal,12
20,RL,4.454347296253507,9.227885551191932,NA,Reg,Lvl,Inside,Gilbert,Norm,1Fam,1Story,7,5,1990,1990,Gable,HdBoard,HdBoard,NA,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,6.45833828334479,Unf,0.0,663.0,7.170888478512505,Gd,Y,SBrkr,7.201916317531627,0,7.201916317531627,1.0,0.0,1,1,2,Gd,5,1,Po,Attchd,Unf,506.0,TA,Y,5.262690188904886,0.0,0.0,0.0,NA,2,WD,Normal,20
20,RL,4.2626798770413155,9.036106025364846,NA,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,4,5,1970,1970,Gable,Plywood,Plywood,NA,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.690842277418564,Rec,4.3694478524670215,0.0,6.78332520060396,TA,Y,SBrkr,6.78332520060396,0,6.78332520060396,1.0,0.0,1,0,2,TA,4,0,NA,Attchd,Fin,525.0,TA,Y,5.484796933490655,0.0,0.0,0.0,MnPrv,4,WD,Normal,40
